id,username,teks_asli,teks_bersih,sentimen,skor,topik,likes,retweets,tanggal,keyword
431927266319163392,infoGRESIK,"Sabtu, 8 Februari 2014. 29 hari lagi jelang ulang tahun #Gresik527. Selamat pagi, Rek! Sehat hari ini?",sabtu 8 februari 2014 29 hari lagi jelang ulang tahun gresik527 selamat pagi rek sehat hari ini,netral,0.988,umum,2,7,2014-02-07,Gresik
431663511240863744,OngisnadeNet,ISL: Gresik United Petik Kemenangan Perdana http://t.co/gYZJhOJ38F,isl gresik united petik kemenangan perdana,netral,0.995,umum,0,1,2014-02-07,Gresik
431531152013557760,e100ss,"03.40 Update kecelakaan di tol Gresik-Surabaya: 1 orang mengalami luka berat, bernama Marjuki (38 tahun) warga... http://t.co/bX1VY4MItd",0340 update kecelakaan di tol gresiksurabaya 1 orang mengalami luka berat bernama marjuki 38 tahun warga,netral,0.984,infrastruktur,1,1,2014-02-06,Gresik
431506266125766656,e100ss,02.10 Info awal: kecelakaan di tol KM 12.200 Gresik ke arah Surabaya di lajur kiri. Truk engkel menabrak bagian... http://t.co/8jH3G9qUiR,0210 info awal kecelakaan di tol km 12200 gresik ke arah surabaya di lajur kiri truk engkel menabrak bagian,netral,0.997,infrastruktur,1,3,2014-02-06,Gresik
431492677813542912,LensorANTV,"ayo kumpul semua fans Arema Indonesia, Sriwijaya FC, Gresik United nih cuplikan gol2nya tayang",ayo kumpul semua fans arema indonesia sriwijaya fc gresik united nih cuplikan gol2nya tayang,netral,0.995,umum,2,5,2014-02-06,Gresik
431479040990392320,WartaKota,Gresik United Menang Tipis atas Persijap: Berlaga di depan pendukungnya Persegres sukses membungkam tamunya Pe... http://t.co/Dh7E5TsHAV,gresik united menang tipis atas persijap berlaga di depan pendukungnya persegres sukses membungkam tamunya pe,netral,0.989,olahraga,0,0,2014-02-06,Gresik
431450196049145856,infoGRESIK,"Lagi, Mahasiswa Gresik Demo PDAM Tolak Kenaikan Tarif http://t.co/wnpepO911T | surya",lagi mahasiswa gresik demo pdam tolak kenaikan tarif surya,netral,0.996,infrastruktur,2,3,2014-02-06,Gresik
431419407592456192,SiaranBolaLivee,#ISL Gresik United 3 - 2 Persijap,isl gresik united 3 2 persijap,netral,0.996,umum,0,0,2014-02-06,Gresik
431418970701185024,Bisniscom,ISL 2014: Gresik United Tundukkan Persijap 3-2 http://t.co/GDSMEDeSmo,isl 2014 gresik united tundukkan persijap 32,netral,0.997,umum,0,0,2014-02-06,Gresik
431412072308826112,infoGRESIK,Ikuti seminar Sumber UANG Masa Depan di INTERNET w/ @pakarseo 12 Feb 2014 @ Graha Petrokimia. CP: @tweetoptimush 08563000680 BBM: 329D2DF7,ikuti seminar sumber uang masa depan di internet w 12 feb 2014 graha petrokimia cp 08563000680 bbm 329d2df7,netral,0.997,industri,2,1,2014-02-06,Gresik
431398884116410368,liputan6dotcom,Gresik United Berhasil Petik Tiga Poin Pertama http://t.co/XLLASWkQNG,gresik united berhasil petik tiga poin pertama,netral,0.993,umum,0,4,2014-02-06,Gresik
431396453399810048,VIVAbola,"UPDATE Klasemen ISL 2014, post match PELITA BR [0-1] SRIWIJAYA, GRESIK UNITED [3-2] PERSIJAP http://t.co/vVpmhIZDK0 #ISL2014",update klasemen isl 2014 post match pelita br 01 sriwijaya gresik united 32 persijap isl2014,netral,0.996,industri,3,20,2014-02-06,Gresik
431389577006157824,Football_ID,Persegres Gresik United Menang Tipis 3-2 Atas Persijap Jepara http://t.co/1D7AtgLK7v #Indonesia #Football,persegres gresik united menang tipis 32 atas persijap jepara indonesia football,netral,0.997,olahraga,0,7,2014-02-06,Gresik
431386835772653569,Football_ID,Lima Gol Warnai Laga Gresik United Kontra Persijap Jepara http://t.co/flswpiTHXo #Indonesia #Football,lima gol warnai laga gresik united kontra persijap jepara indonesia football,netral,0.995,umum,1,6,2014-02-06,Gresik
431385693768519681,SiaranBolaLive,FT | #ISL | Persegres Gresik United 3-2 Persijap Jepara,ft isl persegres gresik united 32 persijap jepara,netral,0.998,olahraga,0,4,2014-02-06,Gresik
431374614917160960,SepakbolaSatu,"ISL : Gresik United 3-2 Persijap (Elthon Maran 6', Reza Mustofa 22', 65'; Nurhadi 72', 90')",isl gresik united 32 persijap elthon maran 6 reza mustofa 22 65 nurhadi 72 90,netral,0.996,umum,1,17,2014-02-06,Gresik
431373234366210048,GOAL_ID,FT: Gresik United 3-2 Persijap Jepara http://t.co/hJ37JotbT2 #GresikUnited #Persijap #ISL,ft gresik united 32 persijap jepara gresikunited persijap isl,netral,0.994,umum,2,12,2014-02-06,Gresik
431371879308218368,SiaranBolaLivee,Gol bertambah untuk persijap!! Gresik United 3 - 1 Persijap #ISL,gol bertambah untuk persijap gresik united 3 1 persijap isl,netral,0.993,umum,0,0,2014-02-06,Gresik
431368729058762752,SiaranBolaLivee,Skor sementara Gresik United 3 - 0 Persijap #ISL,skor sementara gresik united 3 0 persijap isl,netral,0.996,industri,0,0,2014-02-06,Gresik
431367232325566465,GOAL_ID,Update skor: Gresik United 3-1 Persijap #ISL,update skor gresik united 31 persijap isl,netral,0.996,umum,0,11,2014-02-06,Gresik
431365682718965760,we_aremania,Sementara itu.. Gresik United 3-0 Persijap #ISL2014,sementara itu gresik united 30 persijap isl2014,netral,0.996,industri,0,8,2014-02-06,Gresik
431365489265111040,GOAL_ID,Update skor: Gresik United 3-0 Persijap #ISL,update skor gresik united 30 persijap isl,netral,0.996,umum,0,14,2014-02-06,Gresik
431358451487227904,SiaranBolaLivee,HT : Gresik United 2 - 0 Persijap #ISL,ht gresik united 2 0 persijap isl,netral,0.997,umum,0,0,2014-02-06,Gresik
431357017223995392,GOAL_ID,HT: #PBR 0-0 #SFC - http://t.co/WxjP0FTs1i | HT: #Gresik United 2-0 #Persijap Jepara,ht pbr 00 sfc ht gresik united 20 persijap jepara,netral,0.997,umum,0,4,2014-02-06,Gresik
431350432309313536,GOAL_ID,Update skor: Gresik United 2-0 Persijap Jepara #ISL,update skor gresik united 20 persijap jepara isl,netral,0.996,umum,1,15,2014-02-06,Gresik
431347032263884801,GOAL_ID,"PBR vs. SFC masih 0-0, sementara itu Gresik United unggul 1-0 atas Persijap Jepara.  http://t.co/WxjP0FTs1i",pbr vs sfc masih 00 sementara itu gresik united unggul 10 atas persijap jepara,netral,0.993,industri,1,3,2014-02-06,Gresik
431342796042436608,Bolanet,http://t.co/ABHvwOcltj - Inilah Susunan Pemain Gresik United vs Persijap,inilah susunan pemain gresik united vs persijap,netral,0.996,umum,2,6,2014-02-06,Gresik
431336863920427008,WartaKota,"Raja Isa Waspadai Tiga Pemain Gresik: Pelatih Persijap Jepara, Raja Isa bertekad mendapat hasil positif minima... http://t.co/FlVByFj8ea",raja isa waspadai tiga pemain gresik pelatih persijap jepara raja isa bertekad mendapat hasil positif minima,netral,0.993,umum,0,0,2014-02-06,Gresik
431313272953139202,WartaKota,Raja Isa Waspadai Tiga Pemain Gresik: Raja Isa mengaku sudah mengetahui pola permainan Gresik yang mengandalka... http://t.co/SKFlw6YiW5,raja isa waspadai tiga pemain gresik raja isa mengaku sudah mengetahui pola permainan gresik yang mengandalka,netral,0.994,umum,0,0,2014-02-06,Gresik
431313270834987008,WartaKota,Raja Isa akan Kejutkan Gresik: Kejutan ini akan dibuktikannya dalam lanjutan Liga Super Indonesia (LSI) musim ... http://t.co/apkyNiqNoz,raja isa akan kejutkan gresik kejutan ini akan dibuktikannya dalam lanjutan liga super indonesia lsi musim,netral,0.96,olahraga,0,0,2014-02-06,Gresik
431313122444320768,tribunnews,Raja Isa akan Kejutkan Gresik - Super Ball http://t.co/Perx8q2PMv via @tribunnews,raja isa akan kejutkan gresik super ball via,netral,0.994,umum,0,4,2014-02-06,Gresik
